timestamp,demand_mw,hour,day_of_week,month,is_weekend,lag_1h,lag_24h,lag_168h,rolling_mean_24h
2023-04-08 00:00:00,171621.875,0,5,4,1,175348.325,173472.227,155974.082,179158.68
2023-04-08 01:00:00,168290.291,1,5,4,1,171621.875,171077.879,152436.569,179081.582
2023-04-08 02:00:00,164781.153,2,5,4,1,168290.291,167775.68,148709.301,178965.432
2023-04-08 03:00:00,164196.166,3,5,4,1,164781.153,166782.484,147798.035,178840.66
2023-04-08 04:00:00,165310.268,4,5,4,1,164196.166,168026.909,150753.69,178732.897
2023-04-08 05:00:00,168969.984,5,5,4,1,165310.268,172139.748,156929.209,178619.704
2023-04-08 06:00:00,173711.635,6,5,4,1,168969.984,176329.531,162693.189,178487.63
2023-04-08 07:00:00,175237.431,7,5,4,1,173711.635,177403.229,165975.339,178378.551
2023-04-08 08:00:00,177979.886,8,5,4,1,175237.431,182215.469,168779.866,178288.309
2023-04-08 09:00:00,185380.198,9,5,4,1,177979.886,189896.027,176761.519,178111.827
2023-04-08 10:00:00,188263.447,10,5,4,1,185380.198,192411.17,179679.382,177923.667
2023-04-08 11:00:00,188243.545,11,5,4,1,188263.447,192427.321,179269.843,177750.846
2023-04-08 12:00:00,187385.584,12,5,4,1,188243.545,190296.469,177587.375,177576.522
2023-04-08 13:00:00,182267.484,13,5,4,1,187385.584,183921.168,172515.869,177455.235
2023-04-08 14:00:00,185465.044,14,5,4,1,182267.484,185273.346,172785.246,177386.331
2023-04-08 15:00:00,186621.964,15,5,4,1,185465.044,184703.297,173065.311,177394.319
2023-04-08 16:00:00,182335.23,16,5,4,1,186621.964,180745.253,170297.787,177474.263
2023-04-08 17:00:00,177022.682,17,5,4,1,182335.23,174330.134,166178.762,177540.512
2023-04-08 18:00:00,178726.694,18,5,4,1,177022.682,176992.052,166147.971,177652.702
2023-04-08 19:00:00,186393.032,19,5,4,1,178726.694,184455.853,172227.114,177724.978
2023-04-08 20:00:00,181060.026,20,5,4,1,186393.032,179667.589,166928.648,177805.694
2023-04-08 21:00:00,177916.87,21,5,4,1,181060.026,176822.506,163716.123,177863.712
2023-04-08 22:00:00,177762.698,22,5,4,1,177916.87,177294.645,162842.119,177909.311
2023-04-08 23:00:00,175721.158,23,5,4,1,177762.698,175348.325,160943.682,177928.813
2023-04-09 00:00:00,172913.125,0,6,4,1,175721.158,171621.875,158240.04,177944.348
2023-04-09 01:00:00,169696.411,1,6,4,1,172913.125,168290.291,155131.697,177998.15
2023-04-09 02:00:00,167091.39,2,6,4,1,169696.411,164781.153,152319.581,178056.738
2023-04-09 03:00:00,166474.142,3,6,4,1,167091.39,164196.166,152219.403,178152.998
2023-04-09 04:00:00,167784.493,4,6,4,1,166474.142,165310.268,154943.301,178247.914
2023-04-09 05:00:00,170667.242,5,6,4,1,167784.493,168969.984,159909.523,178351.006
2023-04-09 06:00:00,173132.963,6,6,4,1,170667.242,173711.635,163355.622,178421.725
2023-04-09 07:00:00,173078.18,7,6,4,1,173132.963,175237.431,165303.562,178397.614
2023-04-09 08:00:00,176066.777,8,6,4,1,173078.18,177979.886,168109.863,178307.645
2023-04-09 09:00:00,181008.081,9,6,4,1,176066.777,185380.198,173252.968,178227.932
2023-04-09 10:00:00,181786.907,10,6,4,1,181008.081,188263.447,174154.815,178045.761
2023-04-09 11:00:00,181541.241,11,6,4,1,181786.907,188243.545,173357.328,177775.905
2023-04-09 12:00:00,179542.035,12,6,4,1,181541.241,187385.584,170795.377,177496.642
2023-04-09 13:00:00,174970.298,13,6,4,1,179542.035,182267.484,166573.62,177169.828
2023-04-09 14:00:00,176226.64,14,6,4,1,174970.298,185465.044,164956.573,176865.778
2023-04-09 15:00:00,175648.531,15,6,4,1,176226.64,186621.964,163934.958,176480.845
2023-04-09 16:00:00,171903.824,16,6,4,1,175648.531,182335.23,160465.957,176023.619
2023-04-09 17:00:00,166360.648,17,6,4,1,171903.824,177022.682,156399.737,175588.977
2023-04-09 18:00:00,167877.687,18,6,4,1,166360.648,178726.694,158287.471,175144.725
2023-04-09 19:00:00,178195.016,19,6,4,1,167877.687,186393.032,168355.224,174692.683
2023-04-09 20:00:00,175841.585,20,6,4,1,178195.016,181060.026,164522.312,174351.099
2023-04-09 21:00:00,175066.277,21,6,4,1,175841.585,177916.87,161636.216,174133.664
2023-04-09 22:00:00,176499.533,22,6,4,1,175066.277,177762.698,161984.3,174014.89
2023-04-09 23:00:00,174416.946,23,6,4,1,176499.533,175721.158,160716.942,173962.258
2023-04-10 00:00:00,171554.433,0,0,4,0,174416.946,172913.125,157673.572,173907.916
2023-04-10 01:00:00,168544.324,1,0,4,0,171554.433,169696.411,154489.02,173851.303
2023-04-10 02:00:00,165437.181,2,0,4,0,168544.324,167091.39,151697.865,173803.3
2023-04-10 03:00:00,164333.36,3,0,4,0,165437.181,166474.142,150835.102,173734.374
2023-04-10 04:00:00,166030.665,4,0,4,0,164333.36,167784.493,153165.11,173645.175
2023-04-10 05:00:00,170599.256,5,0,4,0,166030.665,170667.242,160111.68,173572.099
2023-04-10 06:00:00,176703.991,6,0,4,0,170599.256,173132.963,168920.378,173569.266
2023-04-10 07:00:00,178546.449,7,0,4,0,176703.991,173078.18,171490.659,173718.059
2023-04-10 08:00:00,182348.377,8,0,4,0,178546.449,176066.777,175559.781,173945.904
